"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
834.5,38.6,700,0.359,806,868,741,921,
848.4,34.6,705,0.359,820,881,758,934,
862.3,30.8,710,0.369,833,893,775,940,
875.5,29.9,715,0.379,848,905,787,947,
888.6,29,720,0.379,864,917,809,949,
901.8,28.1,725,0.379,879,930,827,952,
915,27.2,730,0.379,895,943,844,961,
928.2,26.2,735,0.379,910,956,862,971,
941.4,25.2,740,0.378,924,969,879,981,
954.8,24.6,745,0.357,937,981,891,994,
969.2,25.7,750,0.348,952,994,904,1011,
983.6,26.8,755,0.348,966,1007,920,1034,
998,27.5,760,0.347,979,1022,933,1053,
1012.4,28.3,765,0.348,994,1035,945,1068,
1026.7,28.4,770,0.348,1008,1048,958,1086,
1041.1,28.6,775,0.348,1022,1062,972,1103,
1055.5,28.5,780,0.348,1036,1076,987,1119,
1069.8,28.4,785,0.348,1051,1088,1002,1137,
1084.2,27.5,790,0.348,1065,1101,1022,1151,
1098.6,26.6,795,0.348,1079,1115,1041,1166,
1113,25.4,800,0.348,1095,1128,1061,1178,
1127.3,24.2,805,0.348,1109,1141,1080,1190,
1141.7,22.2,810,0.348,1124,1154,1101,1200,
1156.1,20,815,0.348,1139,1166,1122,1210,
1170.4,17,820,0.348,1154,1179,1143,1214,
1184.8,13.7,825,0.367,1170,1190,1162,1218,
1197.7,13.8,830,0.389,1181,1206,1173,1230,
1210.5,13.8,835,0.389,1197,1217,1183,1246,
1223.4,13.5,840,0.389,1209,1232,1196,1259,
1236.2,13,845,0.389,1224,1245,1210,1271,
1249.1,11.8,850,0.389,1238,1259,1226,1278,
1261.9,10.3,855,0.389,1253,1271,1241,1285,
1274.8,8,860,0.382,1267,1282,1259,1293,
1288.2,10.9,865,0.368,1278,1296,1269,1309,
1301.9,16.1,870,0.364,1289,1313,1272,1329,
1315.7,20.3,875,0.364,1301,1329,1275,1349,
1329.4,23.6,880,0.364,1313,1344,1278,1370,
1343.1,26.6,885,0.364,1325,1359,1281,1388,
1356.8,29.6,890,0.364,1337,1374,1286,1409,
1370.5,32.6,895,0.364,1350,1389,1292,1430,
1384.3,35.2,900,0.364,1363,1405,1298,1451,
1398,37.7,905,0.364,1375,1420,1306,1471,
1411.7,40.2,910,0.364,1386,1436,1313,1491,
1425.5,42.7,915,0.364,1399,1451,1321,1510,
1439.2,45,920,0.364,1411,1466,1328,1530,
1452.9,47.3,925,0.364,1424,1480,1335,1549,
1466.6,49.7,930,0.364,1436,1496,1343,1570,
1480.3,51.8,935,0.364,1449,1510,1353,1589,
1494.1,54,940,0.364,1461,1526,1362,1608,
1507.8,56.2,945,0.364,1473,1541,1369,1627,
1521.5,58.4,950,0.364,1485,1556,1377,1646,
1535.3,60.5,955,0.364,1498,1571,1386,1664,
1549,62.6,960,0.364,1511,1585,1393,1684,
1562.8,64.8,965,0.364,1524,1600,1399,1703,
1576.5,66.8,970,0.364,1535,1616,1410,1721,
1590.2,68.8,975,0.364,1548,1631,1417,1740,
1603.9,70.9,980,0.365,1561,1646,1425,1759,
1617.7,72.9,985,0.364,1573,1660,1435,1778,
1631.4,74.9,990,0.364,1586,1676,1444,1798,
1645.1,77,995,0.364,1598,1691,1452,1817,
1658.8,79.1,1000,0.364,1611,1706,1460,1835,
