"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
-329.8,77.3,0,0.166,-360,-243,-487,-215,
-323.8,74.5,1,0.167,-354,-239,-472,-213,
-317.8,71.8,2,0.167,-345,-236,-462,-212,
-311.9,69.3,3,0.167,-339,-232,-448,-211,
-305.9,66.7,4,0.167,-330,-231,-437,-210,
-299.9,64.3,5,0.168,-324,-227,-427,-209,
-293.9,61.2,6,0.167,-316,-225,-416,-208,
-288,58.4,7,0.169,-309,-222,-410,-207,
-282,55.6,8,0.168,-299,-218,-403,-205,
-276.1,52.8,9,0.167,-290,-213,-395,-204,
-270,50.1,10,0.174,-284,-210,-391,-203,
-264.6,50,11,0.184,-281,-206,-390,-196,
-259.1,50,12,0.183,-277,-204,-388,-188,
-253.7,50,13,0.185,-275,-199,-385,-181,
-248.2,50,14,0.183,-271,-194,-382,-175,
-242.8,49.9,15,0.183,-267,-189,-377,-170,
-237.3,49.9,16,0.183,-262,-184,-372,-164,
-231.8,49.8,17,0.184,-258,-178,-368,-157,
-226.4,49.9,18,0.184,-254,-174,-364,-151,
-221,49.7,19,0.184,-248,-168,-361,-142,
-215.5,49.5,20,0.182,-244,-163,-357,-136,
-210.1,49.3,21,0.184,-239,-159,-354,-128,
-204.6,49.1,22,0.185,-234,-153,-351,-122,
-199.2,48.9,23,0.184,-231,-147,-349,-116,
-193.7,48.6,24,0.183,-228,-138,-348,-110,
-188.3,48.4,25,0.183,-223,-130,-346,-106,
-182.8,48.1,26,0.184,-215,-123,-342,-102,
-177.4,48,27,0.123,-210,-116,-331,-97,
-166.7,50.6,28,0.0928,-206,-111,-327,-58,
-155.9,53.3,29,0.0934,-199,-107,-321,-45,
-145.2,55.4,30,0.0934,-192,-98,-301,-21,
-134.4,57.7,31,0.0925,-187,-88,-271,2,
-123.6,58.7,32,0.0919,-182,-79,-241,19,
-112.7,59.6,33,0.0928,-175,-67,-229,27,
-102,60.2,34,0.0933,-163,-53,-221,32,
-91.2,60.8,35,0.0919,-152,-39,-212,42,
-80.3,60.4,36,0.0933,-137,-26,-203,49,
-69.6,59.1,37,0.0926,-125,-15,-192,54,
-58.8,57.7,38,0.0922,-109,-3,-182,61,
-48,56,39,0.0928,-94,11,-169,68,
-37.2,54,40,0.0922,-81,18,-155,76,
-26.4,50.7,41,0.0932,-69,25,-136,81,
-15.6,47.4,42,0.093,-60,30,-113,105,
-4.9,43.3,43,0.0924,-51,35,-84,106,
5.9,39,44,0.118,-43,35,-50,106,
12.2,40.3,45,0.159,-39,41,-47,108,
18.5,41.7,46,0.159,-34,45,-44,111,
24.8,43,47,0.159,-28,50,-41,118,
31.1,44,48,0.159,-22,58,-40,127,
37.3,45,49,0.16,-17,66,-38,134,
43.6,46,50,0.159,-11,75,-36,143,
49.9,46.7,51,0.159,-5,82,-33,151,
56.2,47.2,52,0.159,2,89,-29,158,
62.5,47.6,53,0.159,8,96,-26,166,
68.8,48,54,0.16,15,104,-20,173,
75,48.3,55,0.159,21,111,-15,181,
81.4,48.5,56,0.159,26,119,-8,189,
87.6,48.8,57,0.159,32,125,-1,200,
93.9,48.4,58,0.159,38,131,10,205,
100.2,48.1,59,0.159,45,137,18,211,
106.5,47.8,60,0.159,51,143,26,215,
112.8,47.2,61,0.159,58,150,32,220,
119.1,46.7,62,0.159,65,156,41,221,
125.4,46.2,63,0.159,72,162,47,225,
131.6,45.3,64,0.159,79,169,54,228,
137.9,44.3,65,0.159,87,174,61,230,
144.2,43.1,66,0.159,98,214,70,231,
150.5,42,67,0.16,107,219,78,234,
156.8,40.5,68,0.159,115,222,86,236,
163,39.1,69,0.159,122,223,96,237,
169.4,37.6,70,0.206,128,225,104,239,
172.7,36.5,71,0.294,131,226,108,240,
176.2,35.4,72,0.292,134,226,114,240,
179.6,34.4,73,0.292,138,228,119,240,
