"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
1120.1,47.3,140,2.75,1087,1168,1021,1210,
1121.9,46.8,145,2.74,1089,1169,1024,1211,
1123.7,46.3,150,2.73,1091,1171,1027,1212,
1125.5,45.8,155,2.72,1095,1171,1029,1213,
1127.4,45.3,160,2.74,1096,1173,1031,1214,
1129.2,44.8,165,2.74,1098,1174,1033,1215,
1131,44.3,170,2.74,1101,1176,1037,1215,
1132.8,43.8,175,2.73,1103,1177,1040,1216,
1134.7,43.3,180,2.73,1104,1179,1043,1217,
1136.5,42.8,185,2.74,1106,1180,1045,1219,
1138.3,42.3,190,2.73,1110,1180,1047,1220,
1140.2,41.8,195,2.74,1111,1182,1051,1220,
1142,41.4,200,2.74,1113,1184,1054,1221,
1143.8,40.9,205,2.74,1115,1185,1057,1222,
1145.6,40.3,210,2.74,1117,1186,1059,1223,
1147.5,39.8,215,2.74,1120,1187,1061,1225,
1149.3,39.3,220,2.74,1121,1189,1065,1226,
1151.1,38.8,225,2.73,1124,1190,1069,1226,
1152.9,38.3,230,2.74,1126,1191,1072,1227,
1154.8,37.7,235,2.74,1128,1193,1074,1229,
1156.6,37.2,240,2.74,1130,1194,1077,1230,
1158.4,36.7,245,2.74,1132,1195,1080,1230,
1160.2,36.1,250,2.74,1135,1196,1084,1232,
1162.1,35.6,255,2.74,1137,1198,1087,1233,
1163.9,35.1,260,2.73,1138,1199,1089,1234,
1165.7,34.6,265,2.73,1141,1200,1093,1235,
1167.5,34,270,2.74,1144,1200,1096,1236,
1169.4,33.4,275,2.73,1146,1202,1100,1236,
1171.2,32.8,280,2.74,1147,1203,1102,1238,
1173,32.2,285,2.74,1149,1205,1105,1240,
1174.9,31.7,290,2.74,1152,1206,1109,1240,
1176.7,31.1,295,2.74,1155,1206,1112,1241,
1178.5,30.5,300,2.73,1156,1208,1116,1242,
1180.3,29.9,305,2.73,1158,1209,1119,1244,
1182.2,29.4,310,2.74,1160,1210,1120,1245,
1184,28.7,315,2.75,1163,1211,1125,1245,
1185.8,28.2,320,2.74,1165,1212,1129,1246,
1187.6,27.6,325,2.73,1166,1214,1132,1247,
1189.5,26.9,330,2.74,1167,1215,1134,1248,
1191.3,26.3,335,2.74,1170,1216,1138,1249,
1193.1,25.6,340,2.74,1173,1216,1141,1250,
1194.9,25,345,2.74,1175,1217,1145,1250,
1196.8,24.3,350,2.74,1176,1218,1149,1251,
1198.6,23.7,355,2.73,1177,1220,1152,1252,
1200.4,22.9,360,2.73,1179,1220,1155,1252,
1202.3,22.2,365,2.74,1183,1220,1159,1253,
1204.1,21.5,370,2.74,1185,1222,1161,1254,
1205.9,20.8,375,2.73,1186,1223,1164,1253,
1207.7,20.1,380,2.74,1187,1224,1165,1255,
1209.6,19.4,385,2.58,1187,1225,1168,1255,
1211.7,19.2,390,2.22,1191,1227,1173,1256,
1214.1,19.4,395,2.13,1194,1230,1174,1257,
1216.4,19.5,400,2.14,1195,1233,1175,1260,
1218.7,19.7,405,2.13,1198,1237,1178,1261,
1221.1,19.8,410,2.13,1200,1240,1180,1263,
1223.4,19.9,415,2.14,1203,1243,1180,1265,
1225.8,19.9,420,2.13,1205,1246,1185,1266,
1228.1,20,425,2.12,1208,1248,1185,1269,
1230.5,19.9,430,2.12,1212,1251,1188,1270,
1232.8,19.8,435,2.13,1215,1254,1191,1273,
1235.2,19.7,440,2.13,1217,1257,1193,1274,
1237.5,19.6,445,2.13,1220,1259,1197,1275,
1239.9,19.4,450,2.13,1223,1262,1200,1277,
1242.2,19.2,455,2.13,1225,1265,1201,1279,
1244.5,19.1,460,2.14,1229,1267,1204,1281,
1246.9,18.7,465,2.13,1232,1270,1208,1281,
1249.2,18.3,470,2.13,1235,1271,1211,1283,
1251.6,17.8,475,2.13,1239,1273,1213,1284,
1253.9,17.4,480,2.13,1242,1275,1214,1285,
1256.3,16.8,485,2.13,1246,1276,1217,1285,
1258.6,16.3,490,2.14,1248,1278,1221,1286,
1261,15.7,495,2.13,1251,1279,1225,1287,
1263.3,15,500,2.13,1255,1280,1228,1288,
1265.6,14.1,505,2.13,1258,1281,1231,1289,
1268,13.2,510,2.13,1261,1282,1235,1290,
1270.3,12.2,515,2.13,1263,1283,1241,1290,
1272.7,11,520,2.13,1265,1284,1247,1292,
1275,9.5,525,2.13,1268,1285,1253,1294,
1277.4,7.8,530,2.13,1270,1285,1259,1294,
1279.7,5.8,535,2.23,1273,1285,1267,1292,
1281.9,6.8,540,2.39,1275,1286,1269,1296,
1284,8.4,545,2.39,1275,1289,1269,1302,
1286.1,9.7,550,2.38,1275,1292,1270,1308,
1288.2,10.9,555,2.38,1276,1295,1270,1314,
1290.3,11.9,560,2.39,1277,1297,1271,1319,
1292.4,12.8,565,2.39,1278,1299,1271,1322,
1294.4,13.7,570,2.39,1279,1300,1271,1325,
1296.5,14.4,575,2.39,1280,1303,1272,1328,
1298.6,15.1,580,2.39,1280,1307,1274,1331,
1300.7,15.8,585,2.38,1281,1310,1275,1334,
1302.8,16.4,590,2.39,1283,1312,1275,1339,
1304.9,16.9,595,2.4,1284,1315,1276,1344,
1307,17.5,600,2.39,1285,1318,1276,1346,
1309.1,18,605,2.39,1287,1321,1277,1348,
1311.2,18.4,610,2.39,1289,1323,1279,1350,
1313.3,18.8,615,2.38,1290,1327,1280,1353,
1315.4,19.2,620,2.39,1291,1330,1281,1357,
1317.5,19.5,625,2.39,1294,1332,1282,1359,
1319.6,19.9,630,2.38,1295,1335,1283,1360,
1321.7,20.2,635,2.38,1297,1338,1285,1364,
1323.8,20.5,640,2.38,1299,1340,1286,1367,
1325.9,20.7,645,2.39,1300,1343,1288,1368,
1328,21,650,2.39,1301,1346,1289,1371,
1330.1,21.3,655,2.39,1304,1348,1291,1374,
1332.2,21.5,660,2.38,1306,1352,1293,1376,
1334.3,21.7,665,2.39,1308,1354,1295,1379,
1336.3,22,670,2.42,1310,1359,1297,1381,
1338.4,22,675,2.43,1313,1360,1299,1381,
1340.5,22,680,2.43,1315,1362,1300,1384,
1342.5,22.1,685,2.43,1317,1365,1302,1387,
1344.6,22.2,690,2.42,1320,1366,1303,1387,
1346.6,22.3,695,2.44,1321,1370,1305,1389,
1348.7,22.3,700,2.44,1324,1372,1306,1391,
1350.7,22.3,705,2.43,1326,1375,1308,1393,
1352.8,22.3,710,2.43,1329,1378,1309,1394,
1354.8,22.3,715,2.44,1333,1381,1311,1396,
1356.9,22.3,720,2.43,1335,1383,1313,1396,
1359,22.3,725,2.42,1339,1385,1314,1399,
1361,22.2,730,2.43,1341,1389,1315,1400,
1363.1,22.1,735,2.43,1344,1390,1318,1401,
1365.1,22,740,2.44,1346,1392,1320,1402,
1367.2,21.9,745,2.44,1347,1395,1320,1404,
1369.2,21.8,750,2.42,1350,1396,1323,1405,
1371.3,21.6,755,2.44,1350,1398,1326,1406,
1373.4,21.5,760,2.43,1350,1400,1327,1408,
1375.4,21.3,765,2.44,1352,1402,1328,1409,
1377.5,21.2,770,2.42,1352,1403,1330,1410,
1379.5,21.1,775,2.18,1354,1405,1334,1411,
1382.1,20.9,780,2,1359,1407,1335,1415,
1384.6,20.8,785,2,1360,1409,1337,1419,
1387.1,20.7,790,1.99,1372,1412,1341,1422,
1389.6,20.6,795,1.99,1379,1415,1342,1425,
1392.1,20.3,800,2,1380,1417,1346,1427,
1394.6,20.1,805,1.99,1381,1420,1347,1430,
1397.1,19.8,810,1.99,1386,1421,1353,1431,
1399.6,19.5,815,2,1388,1423,1354,1434,
1402.1,19.2,820,1.99,1390,1425,1357,1435,
1404.6,18.6,825,2,1394,1426,1362,1437,
1407.1,18.1,830,2,1396,1428,1364,1439,
1409.6,17.4,835,2.01,1399,1429,1366,1440,
1412.1,16.9,840,2,1402,1431,1374,1442,
1414.6,16,845,1.99,1406,1431,1377,1443,
1417.1,15.2,850,1.99,1408,1433,1381,1444,
1419.7,14.3,855,1.99,1410,1434,1385,1445,
1422.1,13.3,860,2.14,1413,1435,1390,1447,
1424,13.2,865,3.15,1416,1436,1390,1449,
1425.5,13.6,870,3.41,1415,1438,1392,1453,
1427,14,875,3.39,1415,1440,1394,1455,
1428.4,14.4,880,3.39,1417,1441,1395,1459,
1429.9,14.8,885,3.4,1418,1443,1396,1462,
1431.4,15.2,890,3.4,1419,1445,1398,1465,
1432.8,15.6,895,3.41,1420,1446,1400,1468,
1434.3,16,900,3.4,1420,1448,1401,1471,
1435.8,16.3,905,3.4,1420,1450,1402,1473,
1437.3,16.7,910,3.39,1422,1451,1404,1476,
1438.7,17,915,3.39,1424,1453,1405,1479,
1440.2,17.4,920,3.4,1424,1454,1406,1481,
1441.7,17.7,925,3.41,1425,1456,1407,1483,
1443.1,18.1,930,3.4,1425,1458,1409,1484,
1444.6,18.3,935,3.4,1426,1460,1410,1486,
1446.1,18.6,940,3.39,1428,1461,1410,1490,
1447.6,18.9,945,3.39,1429,1462,1412,1492,
1449,19.2,950,3.4,1430,1465,1413,1493,
1450.5,19.5,955,3.39,1431,1466,1414,1494,
1452,19.8,960,3.4,1431,1468,1415,1496,
1453.4,20,965,3.4,1433,1469,1415,1500,
1454.9,20.3,970,3.41,1435,1471,1416,1502,
1456.4,20.5,975,3.41,1435,1473,1417,1503,
1457.9,20.8,980,3.39,1436,1475,1418,1504,
1459.3,21,985,3.39,1437,1476,1419,1505,
1460.8,21.3,990,3.41,1439,1477,1420,1508,
1462.3,21.6,995,3.4,1439,1479,1420,1511,
1463.7,21.8,1000,3.39,1441,1481,1421,1513,
1465.2,22,1005,3.4,1442,1484,1422,1515,
1466.7,22.2,1010,3.4,1443,1485,1423,1515,
1468.2,22.5,1015,3.39,1445,1485,1425,1516,
1469.6,22.7,1020,3.4,1445,1489,1425,1520,
1471.1,22.9,1025,3.41,1447,1490,1425,1522,
1472.6,23.1,1030,3.4,1449,1492,1426,1524,
1474,23.3,1035,3.39,1450,1494,1427,1525,
1475.5,23.5,1040,3.39,1451,1496,1429,1526,
1477,23.7,1045,3.41,1452,1497,1429,1528,
1478.5,23.9,1050,3.41,1454,1499,1430,1530,
1479.9,24.1,1055,3.4,1456,1501,1431,1532,
1481.4,24.3,1060,3.4,1456,1503,1431,1535,
1482.9,24.6,1065,3.39,1457,1505,1432,1535,
1484.3,24.7,1070,3.39,1460,1505,1434,1536,
1485.8,24.9,1075,3.4,1460,1509,1435,1539,
1487.3,25.1,1080,3.4,1461,1510,1435,1540,
1488.8,25.2,1085,3.4,1463,1511,1436,1542,
1490.2,25.4,1090,3.4,1465,1514,1438,1544,
1491.7,25.6,1095,3.4,1465,1515,1439,1545,
1493.2,25.8,1100,3.4,1467,1516,1440,1546,
1494.6,25.9,1105,3.4,1468,1519,1440,1549,
1496.1,26.1,1110,3.4,1470,1521,1441,1551,
1497.6,26.3,1115,3.4,1471,1522,1443,1552,
1499.1,26.4,1120,3.41,1472,1525,1444,1554,
1500.5,26.6,1125,3.4,1474,1525,1445,1555,
1502,26.8,1130,3.4,1475,1528,1446,1558,
1503.5,26.9,1135,3.4,1476,1529,1446,1560,
1504.9,27.1,1140,3.41,1478,1531,1448,1561,
1506.4,27.2,1145,3.39,1480,1533,1450,1562,
1507.9,27.4,1150,3.4,1480,1535,1450,1565,
1509.3,27.5,1155,3.41,1482,1536,1451,1566,
1510.8,27.6,1160,3.4,1484,1538,1452,1568,
1512.3,27.8,1165,3.39,1485,1540,1454,1569,
1513.8,27.9,1170,3.4,1486,1541,1455,1571,
1515.2,28.1,1175,3.39,1487,1543,1456,1574,
1516.7,28.2,1180,3.39,1489,1545,1457,1575,
1518.2,28.3,1185,3.4,1490,1546,1459,1576,
1519.6,28.5,1190,3.4,1491,1548,1460,1578,
1521.1,28.6,1195,3.39,1493,1550,1461,1580,
1522.6,28.8,1200,3.39,1495,1551,1462,1582,
1524.1,28.9,1205,3.4,1495,1553,1463,1583,
1525.5,29,1210,3.4,1496,1555,1464,1584,
1527,29.1,1215,3.4,1498,1556,1465,1587,
1528.5,29.2,1220,3.4,1500,1558,1467,1589,
1529.9,29.3,1225,3.4,1501,1560,1468,1590,
1531.4,29.4,1230,3.4,1503,1561,1470,1591,
1532.9,29.6,1235,3.4,1504,1563,1470,1594,
1534.4,29.7,1240,3.4,1505,1565,1471,1595,
1535.8,29.8,1245,3.4,1506,1566,1473,1596,
1537.3,29.9,1250,3.4,1508,1568,1475,1598,
1538.8,30,1255,3.4,1509,1570,1476,1601,
1540.2,30.1,1260,3.39,1510,1571,1477,1602,
1541.7,30.3,1265,3.4,1511,1573,1479,1603,
1543.2,30.4,1270,3.4,1512,1575,1480,1605,
1544.7,30.5,1275,3.41,1514,1576,1482,1607,
1546.1,30.5,1280,3.4,1515,1578,1483,1608,
1547.6,30.6,1285,3.39,1515,1580,1484,1610,
1549.1,30.7,1290,3.41,1518,1581,1486,1611,
1550.5,30.8,1295,3.41,1519,1583,1487,1613,
1552,30.9,1300,3.41,1519,1584,1488,1614,
1553.5,31,1305,3.39,1521,1586,1490,1616,
1554.9,31.1,1310,3.4,1522,1589,1492,1617,
1556.4,31.2,1315,3.4,1524,1590,1493,1619,
1557.9,31.3,1320,3.4,1526,1591,1494,1620,
1559.3,31.4,1325,3.39,1527,1594,1496,1621,
1560.8,31.5,1330,3.39,1529,1597,1498,1623,
1562.3,31.6,1335,3.41,1531,1600,1499,1624,
1563.8,31.7,1340,3.4,1534,1601,1501,1625,
1565.2,31.7,1345,3.4,1536,1608,1502,1626,
1566.7,31.8,1350,3.4,1538,1612,1504,1627,
1568.2,31.9,1355,3.4,1540,1616,1504,1629,
1569.6,32,1360,3.4,1543,1618,1506,1630,
1571.1,32,1365,3.39,1545,1621,1509,1631,
1572.6,32.1,1370,3.4,1545,1624,1510,1632,
1574.1,32.2,1375,3.4,1548,1625,1511,1633,
1575.5,32.3,1380,3.4,1550,1628,1511,1634,
1577,32.3,1385,3.4,1551,1630,1514,1635,
1578.5,32.4,1390,3.4,1552,1631,1516,1636,
