"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
1407.1,11.6,25,3.3,1398,1415,1391,1427,
1407.7,11.5,27,3.25,1399,1416,1392,1428,
1408.3,11.4,29,3.25,1400,1416,1392,1428,
1408.9,11.2,31,3.29,1400,1417,1393,1428,
1409.5,11.1,33,3.28,1400,1418,1393,1429,
1410.1,11,35,3.29,1400,1420,1394,1430,
1410.7,10.9,37,3.29,1402,1420,1395,1430,
1411.4,10.8,39,3.25,1403,1420,1395,1431,
1412,10.7,41,3.25,1404,1420,1396,1432,
1412.6,10.6,43,3.28,1404,1420,1396,1432,
1413.2,10.5,45,3.3,1405,1421,1397,1432,
1413.8,10.3,47,3.25,1405,1423,1398,1432,
1414.4,10.2,49,3.31,1406,1423,1398,1432,
1415,10.1,51,3.29,1406,1425,1399,1434,
1415.6,10,53,3.26,1406,1425,1399,1434,
1416.2,9.9,55,3.24,1408,1425,1400,1435,
1416.9,9.8,57,3.27,1409,1425,1400,1435,
1417.5,9.6,59,3.3,1410,1425,1400,1436,
1418.1,9.5,61,3.29,1410,1426,1401,1436,
1418.7,9.4,63,3.28,1411,1427,1402,1436,
1419.3,9.4,65,3.29,1411,1428,1403,1436,
1419.9,9.2,67,3.28,1411,1429,1404,1437,
1420.5,9.1,69,3.27,1412,1429,1404,1437,
1421.1,8.9,71,3.28,1413,1429,1405,1438,
1421.7,8.8,73,3.28,1414,1430,1405,1439,
1422.3,8.7,75,3.27,1415,1430,1405,1440,
1423,8.6,77,3.27,1416,1431,1405,1440,
1423.6,8.5,79,3.28,1416,1432,1406,1440,
1424.2,8.3,81,3.29,1417,1433,1407,1440,
1424.8,8.2,83,3.27,1417,1433,1408,1440,
1425.4,8.1,85,3.27,1418,1434,1410,1440,
1426,8,87,3.3,1419,1434,1410,1442,
1426.6,7.8,89,3.3,1419,1435,1411,1442,
1427.2,7.7,91,3.28,1420,1435,1411,1443,
1427.8,7.6,93,3.29,1421,1436,1412,1442,
1428.4,7.5,95,3.24,1421,1437,1412,1444,
1429.1,7.3,97,3.27,1422,1437,1413,1444,
1429.7,7.2,99,3.28,1423,1437,1413,1444,
1430.3,7.1,101,3.28,1423,1438,1414,1445,
1430.9,7,103,3.3,1424,1438,1415,1445,
1431.5,6.9,105,3.02,1424,1439,1416,1446,
1432.2,7.1,107,2.74,1425,1440,1416,1447,
1433,7.3,109,2.74,1425,1441,1417,1447,
1433.7,7.4,111,2.74,1426,1441,1416,1449,
1434.4,7.6,113,2.74,1427,1442,1416,1450,
1435.1,7.8,115,2.72,1427,1443,1417,1451,
1435.9,8,117,2.71,1427,1444,1418,1452,
1436.6,8.2,119,2.71,1428,1445,1418,1453,
1437.4,8.3,121,2.73,1430,1445,1419,1455,
1438.1,8.4,123,2.74,1430,1446,1419,1455,
1438.8,8.6,125,2.73,1431,1448,1420,1456,
1439.5,8.7,127,2.73,1430,1449,1420,1457,
1440.3,8.8,129,2.73,1430,1450,1420,1459,
1441,8.9,131,2.73,1431,1450,1420,1460,
1441.7,9.1,133,2.74,1433,1451,1421,1461,
1442.5,9.2,135,2.74,1434,1451,1421,1461,
1443.2,9.3,137,2.73,1434,1452,1422,1462,
1443.9,9.3,139,2.73,1434,1453,1423,1463,
1444.7,9.4,141,2.72,1435,1454,1423,1463,
1445.4,9.5,143,2.7,1435,1455,1424,1464,
1446.2,9.5,145,2.72,1436,1456,1424,1465,
1446.9,9.6,147,2.74,1438,1456,1425,1466,
1447.6,9.7,149,2.75,1439,1456,1425,1467,
1448.3,9.7,151,2.75,1439,1458,1426,1469,
1449.1,9.8,153,2.74,1439,1459,1426,1470,
