"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
1345.4,36.5,50,1.62,1295,1391,1280,1399,
1351.6,36.1,60,1.62,1300,1396,1287,1404,
1357.8,35.8,70,1.62,1306,1402,1295,1410,
1364,35.5,80,1.62,1312,1408,1300,1416,
1370.2,35.3,90,1.62,1319,1413,1306,1424,
1376.3,35,100,1.62,1326,1419,1312,1431,
1382.5,34.8,110,1.62,1333,1425,1317,1439,
1388.7,34.7,120,1.62,1340,1431,1323,1446,
1394.9,34.5,130,1.62,1348,1436,1329,1453,
1401.1,34.2,140,1.62,1355,1441,1336,1460,
1407.3,34,150,1.62,1363,1446,1342,1468,
1413.5,33.9,160,1.62,1372,1451,1348,1474,
1419.6,33.7,170,1.62,1380,1456,1355,1482,
1425.8,33.6,180,1.62,1389,1460,1360,1489,
1432,33.6,190,1.62,1396,1466,1368,1495,
1438.2,33.6,200,1.62,1402,1471,1374,1502,
1444.4,33.4,210,1.62,1409,1476,1380,1508,
1450.6,33.3,220,1.62,1416,1482,1386,1516,
1456.8,33.2,230,1.62,1421,1489,1393,1522,
1462.9,33.1,240,1.62,1428,1497,1400,1528,
1469.1,33,250,1.62,1434,1503,1407,1534,
1475.3,33.1,260,1.62,1439,1510,1412,1541,
1481.5,33.1,270,1.62,1445,1517,1419,1548,
1487.7,33.1,280,1.62,1451,1524,1426,1554,
1493.9,33.1,290,1.62,1457,1530,1433,1560,
1500.1,33.1,300,1.62,1463,1537,1438,1567,
1506.3,33.2,310,1.62,1469,1543,1444,1573,
1512.5,33.2,320,1.62,1474,1550,1452,1579,
1518.6,33.3,330,1.62,1479,1556,1459,1584,
1524.8,33.4,340,1.61,1485,1562,1466,1592,
1531,33.7,350,1.63,1490,1568,1472,1598,
1537.1,34.3,360,1.65,1495,1571,1476,1604,
1543.1,35.1,370,1.66,1501,1575,1479,1612,
1549.2,35.9,380,1.66,1506,1582,1483,1619,
1555.2,36.7,390,1.66,1510,1587,1488,1626,
1561.3,37.5,400,1.66,1516,1593,1493,1633,
1567.3,38.4,410,1.66,1520,1602,1497,1639,
1573.3,39.2,420,1.66,1525,1608,1501,1647,
1579.4,40,430,1.65,1531,1614,1506,1653,
1585.4,40.8,440,1.65,1535,1622,1509,1661,
1591.5,41.7,450,1.65,1539,1630,1513,1668,
1597.5,42.6,460,1.65,1542,1641,1517,1675,
1603.6,43.5,470,1.65,1545,1650,1521,1682,
1609.6,44.3,480,1.65,1548,1658,1526,1689,
1615.7,45.1,490,1.65,1552,1666,1531,1696,
1621.7,46,500,1.66,1555,1674,1535,1702,
1627.7,46.8,510,1.65,1558,1682,1539,1710,
1633.8,47.7,520,1.65,1562,1690,1543,1717,
1639.8,48.6,530,1.66,1566,1697,1547,1724,
1645.9,49.5,540,1.66,1571,1704,1551,1731,
1651.9,50.3,550,1.66,1574,1713,1556,1738,
1657.9,51.2,560,1.66,1579,1719,1560,1744,
1664,52.1,570,1.66,1582,1727,1564,1751,
1670,53,580,1.66,1587,1733,1569,1758,
1676,53.9,590,1.66,1590,1741,1574,1764,
1682.1,54.9,600,1.66,1595,1747,1577,1772,
1688.1,55.7,610,1.66,1598,1755,1582,1778,
1694.1,56.6,620,1.65,1602,1762,1586,1784,
1700.2,57.5,630,1.66,1607,1769,1590,1792,
1706.2,58.3,640,1.66,1611,1777,1595,1798,
1712.3,59.2,650,1.66,1615,1784,1598,1805,
1718.3,60.1,660,1.66,1619,1791,1603,1812,
1724.3,61,670,1.66,1623,1798,1607,1819,
1730.4,61.9,680,1.66,1627,1806,1611,1826,
1736.4,62.8,690,1.66,1632,1812,1616,1832,
1742.5,63.7,700,1.66,1635,1820,1619,1840,
1748.5,64.6,710,1.66,1640,1826,1623,1848,
1754.5,65.6,720,1.66,1644,1834,1626,1856,
1760.6,66.5,730,1.66,1648,1841,1630,1863,
1766.6,67.3,740,1.66,1653,1848,1634,1870,
1772.6,68.2,750,1.66,1656,1855,1638,1877,
1778.7,69.1,760,1.65,1661,1862,1642,1884,
1784.7,70,770,1.65,1665,1870,1646,1892,
1790.8,71,780,1.66,1669,1877,1650,1898,
1796.8,71.9,790,1.66,1672,1884,1654,1906,
1802.9,72.8,800,1.65,1676,1892,1658,1912,
1808.9,73.7,810,1.66,1680,1899,1662,1918,
1814.9,74.6,820,1.65,1684,1906,1667,1925,
1821,75.6,830,1.65,1687,1913,1671,1931,
1827,76.5,840,1.66,1690,1920,1675,1938,
1833.1,77.5,850,1.66,1694,1926,1680,1944,
