"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
2000.5,0,-2000,21.5,2000,2001,2000,2001,
2000.3,1,-1980,21.5,1998,2003,1996,2003,
1999.3,2.2,-1960,21.5,1997,2003,1993,2003,
1997.6,2.7,-1940,21.5,1995,2002,1992,2003,
1996.7,2.6,-1920,21.5,1993,2000,1991,2003,
1996.1,2.9,-1900,21.6,1992,2001,1989,2003,
1995.3,3.4,-1880,21.6,1990,2001,1987,2003,
1994.3,3.9,-1860,21.6,1989,1998,1986,2003,
1993.3,4.2,-1840,21.6,1988,1997,1985,2003,
1992.1,4.4,-1820,21.5,1986,1997,1983,2003,
1991.1,4.5,-1800,21.5,1985,1996,1981,2003,
1990.2,4.7,-1780,21.5,1984,1995,1980,2003,
1989.3,4.9,-1760,21.5,1983,1994,1978,2001,
1988.2,5.3,-1740,21.5,1981,1995,1977,1999,
1987.2,5.7,-1720,21.6,1980,1993,1976,1999,
1986.4,6,-1700,21.6,1979,1995,1975,1999,
1985.6,6.3,-1680,21.6,1978,1989,1974,1999,
1984.6,6.8,-1660,21.6,1977,1988,1972,1999,
1983.7,7.3,-1640,21.6,1975,1987,1971,1999,
1982.9,7.6,-1620,21.6,1975,1986,1969,1999,
1982.1,8,-1600,21.6,1973,1985,1967,1999,
1981.1,8.5,-1580,21.6,1971,1985,1966,1999,
1980.1,8.9,-1560,21.6,1970,1984,1965,1999,
1979.2,9.2,-1540,21.6,1970,1983,1963,1999,
1978.3,9.6,-1520,21.6,1968,1982,1961,1999,
1977.4,10,-1500,21.6,1966,1981,1960,1999,
1976.5,10.3,-1480,21.5,1964,1980,1959,1999,
1975.5,10.6,-1460,21.5,1963,1980,1958,1999,
1974.5,10.9,-1440,21.5,1960,1979,1956,1999,
1973.5,11.2,-1420,21.5,1959,1978,1955,1998,
1972.6,11.5,-1400,21.5,1958,1977,1953,1998,
1971.7,11.8,-1380,21.6,1959,1976,1951,1998,
1970.8,12.1,-1360,21.6,1960,1976,1950,1997,
1969.8,12.5,-1340,21.6,1954,1992,1949,1996,
1968.9,12.8,-1320,21.6,1954,1992,1946,1996,
1968,13.1,-1300,21.6,1955,1992,1944,1995,
1967,13.5,-1280,21.6,1957,1985,1942,1995,
1966.1,13.9,-1260,21.6,1958,1971,1941,1995,
1965.3,14.3,-1240,21.6,1954,1980,1940,1995,
1964.4,14.7,-1220,21.6,1947,1992,1939,1995,
1963.4,15.1,-1200,21.6,1951,1991,1938,1995,
1962.5,15.4,-1180,21.6,1954,1975,1936,1995,
1961.6,15.8,-1160,21.6,1947,1966,1935,1995,
1960.7,16.2,-1140,21.6,1942,1985,1935,1994,
1959.8,16.5,-1120,21.6,1939,1991,1933,1994,
1958.8,16.9,-1100,21.6,1938,1991,1931,1995,
1957.9,17.2,-1080,21.6,1936,1991,1930,1994,
1956.9,17.5,-1060,21.6,1935,1964,1929,1994,
1956,17.9,-1040,21.6,1933,1990,1928,1994,
1955.1,18.2,-1020,21.6,1933,1984,1926,1994,
1954.2,18.6,-1000,21.5,1933,1967,1925,1994,
1953.2,18.9,-980,21.6,1930,1987,1922,1994,
1952.3,19.3,-960,21.6,1927,1988,1921,1994,
1951.3,19.6,-940,21.6,1926,1989,1919,1994,
1950.4,19.9,-920,21.6,1927,1988,1918,1993,
1949.5,20.3,-900,21.6,1934,1987,1916,1992,
1948.6,20.6,-880,21.6,1929,1987,1916,1991,
1947.6,21,-860,21.6,1922,1988,1915,1990,
1946.7,21.3,-840,21.6,1920,1987,1912,1990,
1945.8,21.7,-820,21.6,1919,1987,1910,1990,
1944.9,22,-800,21.6,1918,1987,1909,1990,
1943.9,22.4,-780,21.6,1917,1987,1908,1990,
1943,22.8,-760,21.6,1915,1987,1907,1990,
1942.1,23.1,-740,21.6,1913,1987,1906,1990,
1941.2,23.5,-720,21.6,1912,1987,1905,1990,
1940.3,23.9,-700,21.6,1911,1986,1903,1990,
1939.3,24.2,-680,21.6,1910,1986,1901,1990,
1938.4,24.6,-660,21.6,1908,1985,1900,1990,
1937.5,24.9,-640,21.6,1907,1985,1898,1990,
1936.6,25.3,-620,21.6,1906,1985,1897,1989,
1935.6,25.6,-600,21.6,1904,1984,1895,1989,
1934.7,26,-580,21.6,1902,1985,1895,1989,
1933.8,26.3,-560,21.6,1900,1984,1894,1989,
