"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
2000.5,0,0,"NaN",2000,2001,2000,2001,
1994.2,7.3,5,0.782,1991,2003,1979,2003,
1987.8,11.4,10,0.784,1982,2000,1965,2003,
1981.4,14.6,15,0.784,1974,1997,1953,2003,
1975,17.7,20,0.783,1965,1994,1941,2003,
1968.6,20.4,25,0.784,1957,1990,1929,2003,
1962.2,22.3,30,0.786,1948,1985,1920,2003,
1955.9,24.6,35,0.785,1939,1981,1908,2003,
1949.5,26.5,40,0.784,1930,1976,1896,2000,
1943.1,28.8,45,0.784,1922,1972,1886,1999,
1936.7,30.2,50,0.781,1914,1967,1880,1996,
1930.3,31.2,55,0.779,1906,1962,1869,1993,
1923.9,32.5,60,0.782,1898,1956,1860,1991,
1917.5,33.8,65,0.782,1890,1950,1850,1988,
1911.1,35.3,70,0.782,1882,1946,1840,1985,
1904.7,36.3,75,0.781,1875,1940,1832,1981,
1898.3,37.5,80,0.782,1867,1934,1821,1978,
1891.9,38.8,85,0.783,1860,1929,1812,1976,
1885.5,40.2,90,0.783,1852,1924,1801,1971,
1879.2,41.4,95,0.781,1844,1918,1792,1967,
1872.7,41.6,100,0.781,1836,1911,1786,1963,
1866.3,42.1,105,0.782,1830,1905,1779,1956,
1859.9,42.6,110,0.782,1822,1899,1772,1952,
1853.6,43.3,115,0.783,1814,1894,1764,1947,
1847.1,43.9,120,0.781,1808,1888,1756,1942,
1840.8,44.4,125,0.783,1801,1881,1748,1937,
1834.4,45.1,130,0.779,1793,1877,1740,1932,
1827.9,45.8,135,0.78,1786,1871,1734,1928,
1821.6,46.8,140,0.783,1779,1865,1725,1923,
1815.2,46.9,145,0.785,1772,1858,1719,1918,
1808.8,47.2,150,0.783,1765,1851,1710,1911,
1802.4,47.5,155,0.779,1758,1845,1702,1905,
1796,48,160,0.783,1752,1838,1696,1901,
1789.6,48.6,165,0.784,1744,1833,1688,1896,
1783.2,48.9,170,0.781,1739,1826,1680,1889,
1776.8,49.5,175,0.783,1731,1821,1671,1885,
1770.4,50,180,0.781,1725,1815,1664,1881,
1764,50.7,185,0.782,1718,1809,1656,1876,
1757.7,51,190,0.784,1712,1804,1649,1870,
1751.3,50.9,195,0.783,1704,1797,1642,1862,
1744.9,51,200,0.783,1698,1790,1637,1855,
1738.5,51,205,0.786,1690,1784,1632,1849,
1732.2,51.3,210,0.784,1682,1778,1626,1842,
1725.8,51.2,215,0.784,1675,1771,1621,1836,
1719.4,51.3,220,0.785,1669,1765,1615,1830,
1713,51.6,225,0.783,1661,1758,1608,1824,
1706.6,51.9,230,0.781,1652,1752,1602,1817,
1700.2,52.3,235,0.784,1648,1745,1594,1810,
1693.8,52,240,0.783,1640,1738,1589,1804,
1687.5,52,245,0.781,1632,1732,1583,1797,
1681.1,51.9,250,0.782,1627,1725,1578,1790,
1674.7,52,255,0.781,1620,1720,1572,1785,
1668.2,52.2,260,0.781,1613,1713,1566,1778,
1661.9,52.1,265,0.783,1606,1706,1559,1772,
1655.5,52.3,270,0.783,1598,1699,1554,1766,
1649.1,52.5,275,0.781,1592,1693,1546,1760,
1642.7,52.9,280,0.784,1585,1686,1539,1753,
1636.3,52.5,285,0.779,1579,1679,1535,1748,
1629.9,52,290,0.779,1571,1673,1531,1741,
1623.5,51.7,295,0.781,1565,1665,1526,1732,
1617.1,51.4,300,0.781,1558,1659,1521,1725,
1610.7,51.3,305,0.784,1552,1652,1516,1719,
1604.3,50.8,310,0.784,1546,1645,1511,1712,
1597.9,50.6,315,0.781,1538,1638,1506,1703,
1591.5,50.4,320,0.785,1532,1630,1500,1698,
1585.1,50.4,325,0.783,1525,1621,1495,1690,
1578.8,50.2,330,0.785,1518,1617,1490,1683,
1572.4,49.6,335,0.785,1513,1608,1485,1677,
1566,49.2,340,0.785,1505,1602,1480,1670,
1559.6,48.7,345,0.78,1499,1594,1476,1661,
1553.2,48.5,350,0.78,1493,1588,1470,1655,
1546.8,48.1,355,0.783,1486,1581,1465,1647,
1540.4,47.7,360,0.782,1480,1573,1460,1641,
1534,47.4,365,0.782,1474,1568,1455,1636,
1527.7,47.3,370,0.784,1467,1559,1450,1632,
1521.3,47.3,375,0.737,1459,1551,1441,1629,
