"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
-257,181.6,0,0.137,-300,-74,-643,-32,
-220.6,155.2,5,0.137,-257,-67,-546,-25,
-184.3,127.5,10,0.138,-212,-61,-454,-24,
-147.9,94.4,15,0.137,-176,-61,-351,-9,
-111.5,50.9,20,0.2,-156,-66,-199,-33,
-97.8,48,25,0.365,-134,-49,-182,-12,
-84.1,44.8,30,0.366,-120,-40,-165,-3,
-70.5,41.2,35,0.366,-109,-32,-151,3,
-56.8,37.1,40,0.366,-97,-8,-132,10,
-43.2,32.5,45,0.39,-89,2,-106,15,
-31.2,34.6,50,0.419,-62,8,-102,34,
-19.3,37.2,55,0.419,-52,12,-92,50,
-7.3,39.5,60,0.42,-45,16,-81,60,
4.5,42.1,65,0.332,-38,22,-62,70,
64.5,100.9,70,0.0654,-41,76,-52,299,
157.9,157.2,75,0.0534,-34,217,-45,501,
251.3,177.8,80,0.0538,0,378,-22,585,
344,181.7,85,0.0537,148,574,27,637,
437.2,167.6,90,0.0538,369,650,96,654,
530.2,132.5,95,0.0539,512,655,216,659,
622.6,51.8,100,0.106,621,655,539,663,
624.6,48.4,105,2.44,624,655,546,663,
626.6,45.1,110,2.43,626,656,553,663,
628.7,41.7,115,2.43,628,656,560,663,
630.7,38.3,120,2.44,630,656,567,663,
632.8,34.8,125,2.43,631,656,574,663,
634.9,31.4,130,2.44,634,656,581,663,
636.9,27.9,135,2.44,636,656,588,663,
639,24.3,140,2.44,636,656,595,663,
641,20.7,145,2.44,639,656,602,662,
643.1,17,150,2.43,641,656,607,662,
645.1,13.1,155,2.81,642,657,608,662,
646.5,11,160,4.53,643,656,612,663,
647.5,10.1,165,5.1,644,657,617,663,
648.5,9.3,170,5.1,645,657,623,664,
649.5,8.5,175,5.11,645,658,626,664,
650.4,7.6,180,5.1,646,658,631,664,
651.4,6.8,185,5.11,647,658,636,665,
652.4,6,190,5.36,647,659,640,664,
653.3,5.5,195,6.14,648,659,641,665,
654.1,5.2,200,6.14,649,659,642,665,
654.9,5,205,6.16,650,660,644,665,
655.7,4.9,210,6.16,650,661,645,666,
656.5,4.7,215,4.32,651,662,646,667,
658,6,220,3.33,652,663,646,671,
659.5,7.3,225,3.33,652,664,646,675,
661,8.6,230,3.33,652,665,646,680,
662.5,9.9,235,3.34,653,667,646,684,
664,11.2,240,3.35,654,668,646,689,
665.5,12.4,245,3.34,654,669,647,694,
667,13.7,250,3.33,655,670,647,700,
668.5,14.9,255,3.34,655,672,647,706,
670,16.2,260,3.34,655,674,648,715,
671.5,17.4,265,3.33,655,676,649,734,
673,18.7,270,3.33,656,678,650,748,
674.5,19.9,275,3.33,657,679,650,754,
676,21.2,280,3.34,657,679,651,758,
677.5,22.4,285,3.11,658,680,651,760,
679.3,25.1,290,2.89,658,682,651,768,
681,27.1,295,2.89,658,684,651,772,
682.7,29.1,300,2.9,658,685,651,775,
