"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
1164.4,40.2,0,1.87,1152,1211,1051,1219,
1167.1,40.2,5,1.88,1153,1212,1051,1223,
1169.7,40.2,10,1.93,1154,1213,1052,1230,
1172.3,40.2,15,1.98,1155,1214,1053,1236,
1174.8,40.2,20,1.96,1156,1215,1054,1241,
1177.4,40.1,25,1.91,1157,1217,1057,1246,
1180,40,30,1.9,1157,1219,1060,1250,
1182.7,39.9,35,1.88,1159,1220,1063,1254,
1185.3,39.8,40,1.89,1160,1222,1066,1257,
1188,39.6,45,1.89,1160,1226,1068,1260,
1190.6,39.3,50,1.86,1163,1228,1072,1263,
1193.3,39.1,55,1.91,1165,1230,1074,1265,
1195.9,38.8,60,1.91,1167,1235,1078,1267,
1198.5,38.5,65,1.92,1170,1237,1103,1269,
1201.1,38.1,70,1.95,1173,1240,1107,1270,
1203.7,37.7,75,1.93,1176,1244,1120,1271,
1206.3,37.2,80,1.95,1181,1247,1125,1272,
1208.9,36.8,85,1.89,1186,1251,1129,1273,
1211.5,36.2,90,1.93,1190,1255,1133,1274,
1214.1,35.6,95,1.9,1193,1257,1137,1274,
1216.7,35,100,1.95,1197,1260,1141,1275,
1219.3,34.3,105,1.95,1201,1260,1145,1275,
1221.8,33.7,110,1.91,1204,1262,1152,1276,
1224.5,32.8,115,1.88,1207,1265,1158,1276,
1227.2,32,120,1.88,1212,1266,1162,1277,
1229.8,31,125,1.9,1216,1267,1165,1277,
1232.4,30.2,130,1.94,1218,1269,1170,1278,
1235,29,135,1.94,1220,1269,1174,1278,
1237.6,27.8,140,1.94,1223,1270,1178,1279,
1240.2,26.6,145,1.91,1226,1270,1183,1279,
1242.8,25.3,150,1.91,1230,1270,1188,1279,
1245.4,23.8,155,1.89,1232,1272,1194,1280,
1248.1,22,160,1.88,1234,1272,1201,1280,
1250.7,20.2,165,1.91,1234,1273,1209,1280,
1253.3,18.1,170,1.92,1234,1274,1220,1280,
1256,16,175,0.168,1234,1275,1226,1278,
1313.6,88.6,180,0.0865,1226,1457,1221,1517,
1369.7,104.8,185,0.0927,1231,1514,1224,1525,
1421.7,95.3,190,0.0996,1249,1521,1229,1529,
1470.9,59.9,195,0.125,1463,1516,1295,1563,
1492.4,31.9,200,1.71,1472,1515,1451,1558,
1494.7,31.3,205,2.17,1474,1516,1452,1558,
1497,30.8,210,2.19,1475,1519,1453,1558,
1499.3,30.3,215,2.17,1476,1520,1455,1562,
1501.6,29.8,220,2.17,1479,1521,1456,1565,
1503.9,29.2,225,2.13,1479,1522,1457,1565,
1506.3,28.6,230,2.14,1481,1525,1459,1567,
1508.6,27.9,235,2.17,1483,1526,1462,1569,
