"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
-67.7,55.1,0,0.551,-127,8,-171,60,
-49.6,55.1,10,0.476,-121,26,-157,80,
-25.7,56.5,20,0.418,-84,48,-131,99,
-1.7,57.9,30,0.418,-63,64,-114,120,
22.2,58.9,40,0.418,-37,84,-95,143,
46.1,59.8,50,0.418,-8,106,-74,166,
70,60.3,60,0.418,19,129,-58,188,
93.9,60.5,70,0.418,44,152,-39,212,
117.8,60.5,80,0.418,68,175,-20,240,
141.7,60.2,90,0.418,93,198,5,266,
165.6,59.8,100,0.418,119,220,31,294,
189.5,58.7,110,0.418,144,242,58,319,
213.5,57.3,120,0.418,170,262,87,343,
237.4,55.8,130,0.418,194,284,117,367,
261.3,53.9,140,0.418,218,306,147,386,
285.2,51.8,150,0.419,243,326,178,405,
309.1,48.8,160,0.418,269,345,206,417,
333,45.5,170,0.418,293,367,226,430,
356.9,41.5,180,0.419,319,388,260,452,
380.7,37,190,0.423,348,413,307,472,
402.8,34.5,200,0.489,373,430,332,481,
423,34.3,210,0.496,390,447,362,503,
443.1,34.2,220,0.496,410,468,382,526,
463.3,33.8,230,0.497,430,490,401,543,
483.4,33.4,240,0.496,452,511,418,558,
503.6,32.7,250,0.496,474,533,438,574,
523.8,31.8,260,0.496,495,555,460,590,
543.9,30.9,270,0.496,517,575,482,606,
564.1,29.8,280,0.496,534,591,510,624,
584.2,28.7,290,0.835,553,603,538,640,
588,27.3,300,2.7,558,623,545,640,
591.6,26.7,310,2.85,562,608,549,643,
595.1,26.7,320,2.85,565,616,552,647,
598.6,27,330,2.86,567,624,553,651,
602.1,27.6,340,2.85,571,623,555,655,
605.6,28.4,350,2.86,575,631,555,661,
609.1,29.3,360,2.86,579,637,556,667,
612.6,30.4,370,2.85,581,641,557,673,
616.1,31.7,380,2.85,582,645,558,678,
619.7,33.2,390,2.85,584,649,560,685,
623.2,34.7,400,2.86,585,652,560,694,
626.7,36.4,410,2.85,585,656,561,701,
630.2,38.1,420,2.86,586,660,562,709,
633.7,40,430,2.85,586,666,562,715,
637.2,41.9,440,2.86,586,670,563,723,
640.7,43.8,450,2.86,586,675,564,729,
644.2,45.9,460,2.86,587,678,565,737,
647.7,47.9,470,2.74,588,682,565,745,
658.1,48.4,480,0.665,597,693,574,759,
675.3,47.3,490,0.579,617,711,592,773,
692.6,46.1,500,0.578,637,729,610,790,
709.9,44.6,510,0.579,657,747,629,804,
727.2,43.1,520,0.579,678,764,649,818,
744.4,41.4,530,0.578,698,781,669,832,
761.7,39.2,540,0.579,717,797,690,844,
779,36.9,550,0.578,738,812,713,855,
796.3,34.1,560,0.578,758,828,737,866,
813.6,31.1,570,0.579,777,841,761,874,
830.8,28.6,580,0.586,794,859,781,884,
847.7,29.3,590,0.59,816,876,792,904,
864.7,29.9,600,0.591,834,891,804,925,
881.6,30.1,610,0.591,852,907,819,946,
898.5,30.1,620,0.59,870,924,836,966,
915.5,29.9,630,0.59,889,940,853,986,
932.4,29.1,640,0.59,908,955,872,1002,
949.3,28.1,650,0.59,926,971,890,1016,
966.3,26.8,660,0.59,944,986,907,1028,
983.3,24.9,670,0.59,963,1001,922,1052,
1000.2,22.6,680,0.59,983,1016,948,1074,
1017.1,19.9,690,0.551,1000,1028,985,1093,
1036.5,25.9,700,0.516,1012,1049,992,1118,
1055.9,30.8,710,0.516,1026,1071,999,1137,
1075.3,34.9,720,0.516,1040,1095,1007,1162,
1094.7,37.8,730,0.516,1056,1118,1019,1189,
1114,40.5,740,0.516,1071,1140,1037,1216,
1133.4,42.9,750,0.514,1086,1163,1055,1240,
