"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
-67.7,55.1,0,0.264,-127,8,-171,60,
-29.8,41,10,0.403,-91,10,-102,64,
-18.1,42.7,20,0.853,-85,23,-96,72,
-6.4,44.2,30,0.855,-47,39,-92,83,
5.3,45.2,40,0.853,-40,51,-86,95,
17.1,46.2,50,0.851,-31,62,-80,109,
28.8,46.6,60,0.853,-20,75,-68,122,
40.5,47,70,0.853,-9,87,-56,136,
52.3,47,80,0.853,5,100,-43,147,
64,46.9,90,0.854,17,112,-31,159,
75.7,46.3,100,0.852,30,125,-18,168,
87.4,45.6,110,0.853,44,135,-5,177,
99.1,44.5,120,0.854,57,147,11,186,
110.8,43.3,130,0.852,70,158,24,195,
122.6,41.5,140,0.853,84,169,41,201,
134.3,39.5,150,0.853,102,184,56,207,
146,37,160,0.852,116,191,73,211,
157.8,34,170,0.825,124,199,81,217,
170.3,38.3,180,0.798,133,209,86,240,
182.9,42.2,190,0.791,139,220,91,264,
195.4,45.4,200,0.798,147,234,100,288,
208,48.2,210,0.795,156,249,112,310,
220.6,50.6,220,0.8,166,264,122,327,
233,52.8,230,0.797,176,278,130,343,
245.6,54.6,240,0.8,186,293,139,359,
258.1,56.3,250,0.794,196,309,147,375,
270.7,57.7,260,0.8,209,323,157,391,
283.2,58.9,270,0.796,219,338,167,404,
295.7,59.9,280,0.797,231,352,178,418,
308.4,60.8,290,0.794,243,366,188,432,
320.9,61.5,300,0.797,256,380,198,446,
333.4,62,310,0.798,269,394,210,458,
346,62.3,320,0.797,281,408,221,472,
358.6,62.5,330,0.791,296,421,233,485,
371.1,62.6,340,0.8,309,435,245,496,
383.6,62.3,350,0.797,322,448,258,507,
396.2,62,360,0.803,336,462,270,519,
408.7,61.5,370,0.792,350,474,284,529,
421.3,60.9,380,0.801,364,487,297,540,
433.7,60,390,0.797,379,500,310,550,
446.3,59,400,0.798,393,511,324,560,
458.8,57.7,410,0.796,408,523,338,570,
471.4,56.3,420,0.797,423,535,353,579,
484,54.7,430,0.796,439,545,368,588,
496.6,52.8,440,0.798,455,556,385,596,
509,50.6,450,0.799,470,566,402,605,
521.6,48.2,460,0.798,485,575,421,614,
534.1,45.5,470,0.797,500,583,440,623,
546.6,42.2,480,0.797,513,591,460,629,
559.2,38.5,490,0.801,527,597,481,634,
571.7,34,500,0.794,541,600,507,639,
584.2,28.7,510,0.693,553,603,538,640,
600.6,35.1,520,0.614,564,634,539,676,
616.8,40.6,530,0.615,572,645,547,708,
633.1,45,540,0.613,579,662,556,731,
649.4,49,550,0.63,588,684,565,750,
664.9,51.2,560,0.648,602,703,573,769,
680.3,53.1,570,0.647,616,725,583,787,
695.8,54.6,580,0.647,633,745,594,804,
711.2,55.7,590,0.648,649,764,605,820,
726.6,56.4,600,0.648,665,781,617,836,
742.1,56.7,610,0.647,683,798,629,853,
757.5,56.7,620,0.647,700,815,642,867,
773,56.1,630,0.648,717,831,655,881,
788.4,55.3,640,0.647,736,844,671,900,
803.9,54.1,650,0.647,754,858,693,918,
819.4,52.5,660,0.647,772,869,713,934,
834.8,50.4,670,0.649,790,878,735,944,
850.2,47.8,680,0.648,807,885,758,952,
865.7,44.8,690,0.385,822,890,775,956,
902,59.4,700,0.275,836,957,785,1025,
938.4,67.3,710,0.274,862,995,816,1088,
974.9,69.2,720,0.275,887,1026,846,1118,
1011.2,66.4,730,0.275,945,1116,885,1140,
1047.6,57.3,740,0.2,986,1124,957,1153,
1133.4,42.9,750,0.171,1086,1163,1055,1240,
1143.2,42.4,760,1.02,1097,1176,1067,1242,
1153,41.8,770,1.02,1107,1190,1077,1246,
1162.8,41,780,1.02,1118,1200,1087,1249,
1172.5,39.9,790,1.02,1132,1212,1099,1253,
1182.3,38.6,800,1.02,1145,1225,1109,1257,
1192.1,37.1,810,1.02,1159,1235,1121,1261,
1201.8,35.1,820,1.02,1173,1245,1131,1265,
1211.6,32.9,830,1.02,1188,1252,1145,1269,
1221.3,30.2,840,1.03,1203,1260,1160,1272,
1231.1,26.9,850,1.02,1215,1265,1174,1275,
1240.8,22.8,860,1.03,1226,1268,1196,1278,
1250.6,17.2,870,1.15,1231,1273,1219,1278,
1258,15.5,880,1.55,1240,1278,1227,1284,
1264.4,15.4,890,1.57,1252,1283,1231,1291,
1270.8,14.8,900,1.56,1260,1289,1238,1296,
1277.2,13.5,910,1.56,1268,1293,1245,1300,
1283.7,11.4,920,1.56,1277,1295,1256,1304,
1290.1,8.2,930,1.97,1283,1297,1275,1305,
1293.8,9.2,940,2.86,1285,1300,1278,1313,
1297.3,10.5,950,2.89,1285,1305,1279,1320,
1300.7,11.5,960,2.9,1288,1309,1280,1328,
1304.2,12.5,970,2.9,1290,1313,1281,1333,
1307.6,13.3,980,2.9,1292,1318,1284,1336,
1311.1,14,990,2.89,1295,1322,1285,1342,
1314.5,14.7,1000,2.9,1297,1327,1287,1346,
1318,15.2,1010,2.9,1300,1331,1289,1350,
1321.4,15.7,1020,2.9,1303,1335,1291,1355,
1324.9,16.2,1030,2.9,1306,1339,1294,1359,
1328.3,16.6,1040,2.9,1309,1344,1296,1363,
1331.8,16.9,1050,2.9,1313,1348,1299,1366,
1335.2,17.2,1060,2.89,1316,1352,1301,1370,
1338.7,17.5,1070,2.9,1320,1356,1304,1374,
1342.2,17.7,1080,2.89,1324,1360,1306,1377,
1345.6,17.9,1090,2.89,1326,1365,1309,1380,
1349.1,18.1,1100,2.9,1331,1368,1312,1384,
1352.5,18.2,1110,2.9,1336,1372,1315,1387,
1356,18.2,1120,2.89,1339,1376,1316,1391,
1359.4,18.3,1130,2.9,1342,1381,1320,1393,
1362.9,18.3,1140,2.9,1348,1383,1323,1396,
1366.3,18.2,1150,2.9,1351,1388,1326,1399,
1369.8,18.1,1160,2.89,1356,1391,1329,1402,
1373.2,18,1170,2.9,1360,1394,1331,1404,
1376.7,17.9,1180,2.9,1365,1397,1334,1407,
1380.1,17.7,1190,2.89,1369,1400,1337,1410,
1383.6,17.4,1200,2.89,1374,1403,1340,1413,
1387,17.2,1210,2.91,1377,1405,1343,1415,
1390.5,16.8,1220,2.88,1382,1407,1345,1418,
1394.1,16.7,1230,2.33,1386,1409,1345,1424,
1399.1,18,1240,2.01,1388,1415,1348,1432,
1404,19.3,1250,2.01,1390,1422,1353,1442,
1409,20.4,1260,2.01,1393,1427,1357,1450,
1414,21.4,1270,2.01,1395,1433,1361,1458,
1418.9,22.3,1280,2.01,1399,1438,1366,1466,
1423.9,23.1,1290,2.01,1401,1445,1371,1474,
1428.9,23.8,1300,2.02,1406,1449,1376,1481,
1433.8,24.4,1310,2.01,1409,1456,1382,1487,
1438.8,25,1320,2.01,1413,1462,1388,1494,
1443.8,25.5,1330,2.01,1418,1466,1393,1499,
1448.8,25.9,1340,2.01,1421,1472,1396,1505,
1453.7,26.3,1350,2.01,1426,1478,1401,1511,
1458.7,26.7,1360,2.01,1431,1483,1406,1516,
1463.7,27,1370,2.01,1436,1487,1410,1521,
1468.7,27.2,1380,2.01,1440,1493,1414,1527,
1473.6,27.4,1390,2.01,1444,1499,1419,1532,
1478.6,27.5,1400,2.01,1449,1504,1424,1536,
1483.6,27.6,1410,2.01,1454,1510,1430,1541,
1488.6,27.7,1420,2.01,1459,1514,1434,1545,
1493.5,27.7,1430,2.01,1464,1519,1439,1551,
1498.5,27.6,1440,2.01,1468,1525,1444,1557,
1503.5,27.5,1450,2.01,1473,1529,1450,1561,
1508.5,27.4,1460,2.01,1478,1534,1455,1565,
1513.4,27.2,1470,2.01,1484,1539,1460,1570,
1518.4,26.9,1480,2.01,1489,1544,1466,1575,
1523.4,26.7,1490,2.01,1495,1549,1472,1578,
1528.4,26.3,1500,2.06,1500,1555,1477,1582,
1533.1,26.3,1510,2.25,1504,1560,1482,1586,
1537.3,26.7,1520,2.35,1508,1565,1486,1590,
1541.6,27.1,1530,2.35,1513,1569,1489,1595,
1545.8,27.5,1540,2.35,1517,1574,1492,1600,
1550.1,27.8,1550,2.35,1520,1580,1495,1605,
1554.3,28.1,1560,2.35,1526,1584,1498,1610,
1558.6,28.4,1570,2.35,1530,1589,1502,1613,
1562.9,28.7,1580,2.34,1534,1595,1505,1617,
1567.1,28.9,1590,2.35,1539,1599,1508,1622,
1571.4,29.1,1600,2.35,1544,1605,1513,1625,
1575.6,29.4,1610,2.36,1549,1610,1514,1629,
1579.9,29.5,1620,2.35,1556,1616,1518,1632,
1584.1,29.7,1630,2.34,1562,1623,1515,1636,
1588.4,29.8,1640,2.27,1566,1628,1517,1639,
1593,30.6,1650,1.92,1570,1633,1517,1644,
