"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
1700.2,53.2,1700,6.09,1655,1683,1643,1809,
1701.8,52.8,1710,6.39,1657,1685,1647,1809,
1703.3,52.5,1720,6.74,1658,1686,1649,1809,
1704.8,52.3,1730,6.74,1660,1711,1650,1810,
1706.2,52,1740,6.74,1662,1767,1652,1811,
1707.7,51.7,1750,6.74,1664,1690,1655,1812,
1709.2,51.5,1760,6.74,1666,1748,1656,1814,
1710.7,51.3,1770,6.74,1667,1803,1657,1814,
1712.2,51,1780,6.74,1668,1725,1659,1815,
1713.7,50.8,1790,6.73,1670,1697,1661,1816,
1715.1,50.5,1800,6.74,1671,1698,1663,1816,
1716.6,50.3,1810,6.74,1673,1802,1664,1817,
1718.1,50,1820,6.73,1675,1714,1665,1819,
1719.6,49.8,1830,6.74,1676,1797,1666,1819,
1721.1,49.5,1840,6.74,1678,1799,1668,1820,
1722.6,49.3,1850,6.74,1679,1801,1670,1821,
1724.1,49.1,1860,6.73,1681,1803,1672,1822,
1725.5,48.9,1870,6.73,1682,1806,1673,1823,
1727,48.6,1880,6.73,1685,1805,1674,1825,
1728.5,48.4,1890,6.73,1686,1807,1675,1825,
1730,48.2,1900,6.73,1688,1809,1676,1827,
1731.5,47.9,1910,6.74,1689,1809,1678,1827,
1733,47.7,1920,6.73,1691,1812,1679,1828,
1734.5,47.5,1930,6.74,1693,1812,1679,1830,
1735.9,47.3,1940,6.74,1695,1813,1681,1830,
1737.4,47.1,1950,6.73,1696,1814,1682,1831,
1738.9,46.8,1960,6.73,1698,1816,1683,1833,
1740.4,46.6,1970,6.73,1699,1818,1685,1834,
1741.9,46.4,1980,6.74,1702,1818,1685,1835,
1743.4,46.2,1990,6.74,1703,1818,1687,1835,
1744.8,46,2000,6.61,1705,1820,1687,1837,
1746.4,45.8,2010,6.5,1706,1822,1690,1837,
1747.9,45.5,2020,6.5,1707,1825,1688,1839,
1749.5,45.3,2030,6.48,1709,1825,1690,1840,
1751,45.1,2040,6.48,1711,1826,1691,1841,
1752.6,44.8,2050,6.48,1712,1828,1695,1842,
1754.1,44.6,2060,6.48,1714,1830,1693,1843,
1755.6,44.4,2070,6.49,1715,1832,1691,1844,
1757.2,44.1,2080,6.49,1717,1834,1698,1846,
1758.7,43.9,2090,6.49,1718,1835,1698,1847,
1760.3,43.7,2100,6.49,1720,1836,1692,1849,
1761.8,43.5,2110,6.48,1721,1839,1704,1849,
1763.4,43.3,2120,6.49,1722,1841,1694,1850,
1764.9,43.1,2130,6.49,1725,1841,1709,1851,
1766.4,42.9,2140,6.49,1726,1842,1714,1852,
1768,42.7,2150,6.48,1727,1844,1716,1854,
1769.5,42.5,2160,6.49,1728,1845,1717,1855,
1771.1,42.3,2170,6.49,1730,1846,1718,1855,
1772.6,42.1,2180,6.5,1732,1847,1720,1856,
1774.1,42,2190,6.49,1733,1849,1722,1858,
1775.7,41.8,2200,6.48,1735,1850,1724,1859,
1777.2,41.6,2210,6.48,1736,1851,1725,1860,
1778.8,41.5,2220,6.47,1738,1851,1727,1860,
1780.3,41.3,2230,6.47,1740,1853,1730,1862,
1781.9,41.2,2240,6.48,1741,1855,1732,1863,
1783.4,41,2250,6.49,1742,1856,1734,1863,
1784.9,40.9,2260,6.48,1744,1857,1736,1864,
1786.5,40.7,2270,6.48,1746,1858,1737,1865,
1788,40.6,2280,6.49,1747,1859,1740,1865,
1789.6,40.5,2290,6.48,1749,1860,1741,1867,
1791.1,40.4,2300,6.5,1751,1862,1743,1868,
1792.6,40.2,2310,6.5,1752,1862,1745,1869,
1794.2,40.1,2320,6.48,1754,1863,1745,1870,
1795.7,40,2330,6.46,1755,1865,1748,1870,
1797.3,39.9,2340,6.47,1758,1865,1750,1872,
1798.8,39.8,2350,6.48,1760,1866,1751,1873,
1800.4,39.7,2360,6.48,1761,1867,1753,1874,
1801.9,39.6,2370,6.48,1762,1869,1755,1875,
1803.4,39.6,2380,6.49,1764,1870,1757,1876,
1805,39.5,2390,6.48,1766,1871,1759,1877,
1806.5,39.4,2400,6.48,1767,1872,1761,1879,
1808.1,39.3,2410,6.49,1769,1873,1762,1880,
1809.6,39.3,2420,6.49,1771,1875,1764,1880,
1811.2,39.2,2430,6.49,1772,1875,1766,1882,
1812.7,39.2,2440,6.49,1774,1876,1767,1884,
1814.3,39.2,2450,6.48,1776,1877,1768,1885,
1815.8,39.1,2460,6.48,1777,1878,1770,1885,
1817.3,39.1,2470,6.5,1778,1879,1773,1886,
1818.9,39.1,2480,6.49,1781,1880,1774,1888,
1820.4,39,2490,6.48,1783,1881,1775,1890,
1821.9,39,2500,6.48,1784,1882,1777,1890,
1823.5,39,2510,6.49,1785,1883,1779,1892,
1825,39,2520,6.48,1787,1884,1780,1893,
1826.6,39,2530,6.48,1789,1885,1782,1895,
1828.1,39,2540,6.49,1791,1887,1784,1896,
1829.7,39,2550,6.49,1792,1887,1786,1897,
1831.2,39.1,2560,6.48,1794,1888,1788,1898,
1832.7,39.1,2570,6.48,1796,1889,1790,1900,
1834.3,39.1,2580,6.48,1797,1890,1791,1901,
1835.8,39.2,2590,6.48,1800,1891,1795,1900,
1837.4,39.2,2600,5.97,1801,1890,1796,1902,
1839.2,39.3,2610,5.51,1802,1893,1798,1903,
1841,39.3,2620,5.54,1804,1895,1800,1905,
1842.8,39.4,2630,5.53,1806,1896,1802,1905,
1844.6,39.5,2640,5.52,1807,1898,1804,1907,
1846.4,39.6,2650,5.97,1810,1900,1806,1909,
1848,39.7,2660,6.49,1811,1901,1807,1910,
1849.5,39.8,2670,6.49,1813,1903,1809,1912,
1851,39.9,2680,6.34,1814,1905,1810,1915,
1852.7,40.1,2690,6.18,1815,1907,1811,1917,
1854.3,40.3,2700,6.16,1816,1909,1812,1920,
