
T(5)	-1.14	1.14	-2.65	2.65	
U(0,4)	3.98986e-17	4	3.98986e-17	4	
General	
start	
GE-C1	-388	-230	-393.5	-205	
GU-6	-349.5	-171.5	-359	-122	
GE-C2	-30.5	73.5	-40.5	118	
GE-C3	232.5	325.5	176	353	
GU-7	130	214.5	122	236.5	
GE-C4	265	409.5	255.5	420.5	
GE-C5	266.5	419	256	530.5	
end	
U(-2,2)	-2	2	-2	2	
guffert_b	-2	2	-2	2	
	
	
@General	-43	148.5	-155.5	229	
@	
@	5.37764e-17	2.616	5.37764e-17	3.804	
@guffert_b	-1.26304	-0.419038	-1.26304	1.95696	
@start	-358.5	-241.5	-485	-213.5	
@GE-C1	-282	-208	-389	-201	
@GU-6	-208.5	-114.5	-329.5	-95	
@GE-C2	-41.5	35.5	-48.5	106	
@GE-C3	128	225	104.5	239.5	
@GU-7	179.5	236	142	245	
@GE-C4	257	365	250.5	399	
@GE-C5	364.5	526.5	336.5	537.5	
@end	400.5	633	360.5	670.5	
@depthModel	-354.5	-239	-474.5	-212	
@depthModel	-350.5	-235.5	-468	-211.5	
@depthModel	-344.5	-234	-462	-210	
@depthModel	-340	-232	-453.5	-209.5	
@depthModel	-336	-230.5	-444.5	-209.5	
@depthModel	-330.5	-229.5	-438	-208.5	
@depthModel	-325.5	-228.5	-431.5	-208	
@depthModel	-322.5	-225.5	-425.5	-207	
@depthModel	-318	-224.5	-418.5	-206.5	
@depthModel	-312	-223	-412	-206	
@depthModel	-308	-220	-409	-205	
@depthModel	-301	-218	-405	-204	
@depthModel	-296	-215	-400	-203	
@depthModel	-290.5	-212.5	-394.5	-202.5	
@depthModel	-286	-210	-392	-202	
@depthModel	-279.5	-207.5	-388.5	-198	
@depthModel	-279	-204.5	-388	-194.5	
@depthModel	-276.5	-204	-387.5	-189.5	
@depthModel	-275.5	-201.5	-386.5	-185	
@depthModel	-274	-199	-384.5	-182	
@depthModel	-273	-196	-383.5	-178.5	
@depthModel	-270	-195	-381.5	-175	
@depthModel	-269.5	-190	-379.5	-172	
