"intcal20_t","intcal20_dt","z","sed","from_68_3","to_68_3","from_95_4","to_95_4",
609.9,22,0,2.29,598,629,573,646,
614.2,20.6,10,2.32,601,633,577,649,
618.5,19.2,20,2.31,605,636,582,650,
622.9,17.9,30,2.31,610,641,588,654,
627.2,16.6,40,2.33,615,645,593,655,
631.5,15.3,50,0.994,621,647,600,655,
647.4,30.4,60,0.623,616,660,596,721,
663.4,39.2,70,0.632,620,682,602,757,
679.2,45.1,80,0.627,626,702,608,781,
695.2,49.4,90,0.63,633,725,616,803,
711,52.2,100,0.63,642,744,623,821,
726.9,54,110,0.625,658,766,632,841,
743,54.7,120,0.625,674,804,652,865,
758.9,54.6,130,0.599,688,820,670,875,
834.4,125.5,140,0.0935,689,866,675,1127,
969.5,200.6,150,0.0735,689,1327,686,1331,
1105.4,205.5,160,0.0904,718,1346,693,1349,
1186.8,187.9,170,0.226,968,1353,704,1357,
1217.2,169.8,180,0.327,1223,1355,760,1359,
1247.9,150.8,190,0.327,1268,1355,830,1383,
1278.3,131,200,0.429,1308,1353,858,1412,
1297.2,116.7,210,1.17,1324,1352,879,1420,
1304.7,108.2,220,1.33,1325,1358,945,1421,
1312.3,99.7,230,1.33,1329,1362,992,1423,
1319.8,91.1,240,1.34,1332,1367,1032,1426,
1327.2,82.4,250,1.32,1336,1372,1068,1428,
1334.8,73.5,260,1.33,1341,1376,1110,1431,
1342.3,64.4,270,1.33,1346,1379,1143,1434,
1349.9,55,280,1.32,1352,1381,1178,1439,
1357.4,44.9,290,1.33,1358,1383,1215,1441,
1364.9,34,300,1.24,1364,1383,1257,1433,
1376.5,30.8,310,0.706,1365,1393,1281,1436,
1392.7,34.9,320,0.616,1366,1420,1287,1470,
1408.7,36.1,330,0.623,1372,1443,1314,1482,
1424.8,35,340,0.625,1393,1463,1362,1489,
1440.7,31.7,350,0.624,1419,1475,1374,1490,
1456.8,24,360,0.655,1443,1475,1406,1496,
1470.7,24.2,370,0.791,1449,1478,1438,1519,
1482.8,33.4,380,0.826,1450,1491,1439,1558,
1494.9,40.1,390,0.829,1452,1508,1441,1588,
1506.9,45.7,400,0.83,1455,1524,1444,1610,
1519,50.4,410,0.829,1460,1539,1447,1629,
1531.1,54.6,420,0.832,1465,1554,1450,1646,
1543,58.3,430,0.833,1471,1571,1453,1665,
1555.1,61.6,440,0.831,1479,1587,1457,1683,
1567,64.6,450,0.828,1486,1604,1461,1701,
1579.3,67.5,460,0.821,1495,1620,1466,1716,
1591.3,70,470,0.829,1505,1636,1471,1734,
1603.5,72.3,480,0.832,1515,1650,1476,1751,
1615.4,74.5,490,0.83,1524,1667,1482,1767,
1627.5,76.3,500,0.834,1536,1681,1488,1784,
1639.5,78.1,510,0.832,1548,1697,1495,1803,
1651.5,79.7,520,0.831,1561,1713,1504,1825,
1663.6,81.1,530,0.827,1574,1727,1515,1844,
1675.7,82.4,540,0.831,1586,1741,1528,1865,
1687.7,83.7,550,0.835,1597,1753,1541,1889,
1699.7,84.7,560,0.831,1607,1768,1555,1922,
1711.7,85.6,570,0.829,1615,1781,1568,1938,
1723.8,86.5,580,0.82,1626,1790,1580,1945,
1736,87.1,590,0.827,1636,1796,1596,1948,
1748.1,87.7,600,0.829,1647,1900,1618,1950,
1760,88.3,610,0.844,1656,1947,1647,1950,
